sent1	sent2	theme	score
It depends on what they are.	It depends on how it's used.	answer-answer	1.0
You don't need to know everything.	They just don't want you to know it.	answer-answer	1.0
I think it's just a habit.	I think it's a bad idea.	answer-answer	1.0
It depends on what you want to do next, and where you want to do it.	You need to pick how and where you want to place your foot and do it.	answer-answer	1.0
You should do it.	You should never do it.	answer-answer	1.0
The answer to this and all such similar questions is in two stages:	The answer to both questions is: Yes.	answer-answer	1.0
It depends on what you want to do next, and where you want to do it.	They can, but the way to do it depends on what you have available.	answer-answer	1.0
It's not a good idea.	It's not just a good idea, it's an excellent idea.	answer-answer	1.0
Yes, there is at least one to my knowledge.	To my knowledge, there's no time requirement.	answer-answer	1.0
"My answer to your question is ""Probably Not""."	This is a part answer to your question	answer-answer	1.0
The key thing to realize here is that it's not your job to make people do their work.	It really isn't your problem how they are going to find a qualified person to do the job.	answer-answer	1.0
There are two possible causes for this:	There are two options for you - 	answer-answer	1.0
There's also what the string is made of.	There is also a Youtube-Version of the film.	answer-answer	0.0
You also imply you may not be paid if they cannot place you with a client.	You can do it, but you might not be a professor.	answer-answer	0.0
You just have to base your answer on what you do know, which is what you want.	You may want it, but the process given to you is what you have to work within.	answer-answer	0.0
You need to read a lot to know what you like and what you don't.	You have to decide how much you want to demand, and what unmet demands you can live with.	answer-answer	0.0
It's not a good idea.	It's a good question.	answer-answer	0.0
It's pretty much up to you.	It's much better to ask.	answer-answer	0.0
Work into it slowly.	It seems to work.	answer-answer	0.0
There are two ways to start with: plunging and dripping.	There are two traditional ways to bend wood:	answer-answer	0.0
The answers so far are already good, but I'd like to add a map for Switzerland:	You have a lot of answers already, but I'd like to add Curries as another solutions.	answer-answer	0.0
There is no maximum.	There is no quarantine period.	answer-answer	0.0
You need to read a lot to know what you like and what you don't.	Yes, you should create a portfolio site to showcase what you can do and what you've done.	answer-answer	0.0
You just have to base your answer on what you do know, which is what you want.	It is his job to see that you have what you need to do your job.	answer-answer	0.0
No it does not affect your ratings.	No it is not.	answer-answer	0.0
The best thing you can do is to know your stuff.	My recommendation is not to say anything, and do the best you can.	answer-answer	0.0
You don't have to know.	You don't have to do anything to season it.	answer-answer	0.0
You need to read a lot to know what you like and what you don't.	You should tell a good story and sometimes you have to tweak reality/history to do so.	answer-answer	0.0
The best thing you can do is to know your stuff.	The best thing to do is to overcome the fussiness.	answer-answer	0.0
You PROBABLY don't have any chance at the moment.	"Saying ""thanks, I don't have any questions at the moment."""	answer-answer	0.0
You should do it.	You should prime it first.	answer-answer	0.0
What kind of insulation is it?	What kind of floors are above?	answer-answer	0.0
It's all in her head.	It's all about adhesion.	answer-answer	0.0
You need to read a lot to know what you like and what you don't.	You have to know what you want to do.	answer-answer	0.0
You will want to clean the area first.	You will also want to remove the seeds.	answer-answer	0.0
You just have to base your answer on what you do know, which is what you want.	Remember this is your degree we are talking about, its up to you what you want to do.	answer-answer	0.0
What is your lid made of?	What is your paper for?	answer-answer	0.0
You don't need any visa.	You don't need sauce at all.	answer-answer	0.0
The answer to both questions is: Yes.	To directly answer the two questions in your title.	answer-answer	0.0
You don't have to know.	You don't have equipments/facilities to do research in B.	answer-answer	0.0
There are a few things I think you should do.	There are a few things I don't understand:	answer-answer	0.0
Yes, there is a chemical difference.	Yes, there is a reason for it.	answer-answer	0.0
They can be out of level by a bit, but flat is important.	Yes, although they can be a bit sour.	answer-answer	0.0
No, you do not NEED a bread machine.	You do not need to worry.	answer-answer	0.0
You don't have to know.	Other than that you don't have a tax issue.	answer-answer	0.0
It is more deciding what you should do and what you should get others to do.	Point is: know what you want and don't be afraid to ask for it.	answer-answer	0.0
You are on the right path.	You're right on about the sample definition.	answer-answer	0.0
You don't need any visa.	You don't have to worry.	answer-answer	0.0
You have to decide what you want to get out of this.	You're probably going to have to read various blogs to get all the information you want.	answer-answer	0.0
It is impossible to answer this question without a form check.	This is a part answer to your question	answer-answer	0.0
Microwave would be your best bet.	Your best bet is research.	answer-answer	0.0
Yes, there is a reason to not do what you propose.	Yes, there is a chemical difference.	answer-answer	0.0
You don't have to worry.	You don't have to do anything to season it.	answer-answer	0.0
There is no test that can tell you if it is sealed or not.	There is no code telling you that you cannot do this.	answer-answer	0.0
Yes, you should make a résumé.	Yes, you should talk to your professor.	answer-answer	0.0
You shouldn't feel any obligation at all.	You don't need sauce at all.	answer-answer	0.0
